CIN,Company_Name,Company_Class,Date_of_Incorporation,Authorized_Capital,Paidup_Capital,Company_Status,NIC_Code,Registered_Address,RoC,State
UCH00001KP829417,DEL-Fin-1 Pvt Ltd,Private,2005-04-07,5000000.0,2500000.0,Dormant,47,"181, Delhi",RoC-Delhi,Delhi
UCH00002KP659572,DEL-Info-2 Pvt Ltd,Public,2017-04-18,500000.0,400000.0,Amalgamated,70,"92, Delhi",RoC-Delhi,Delhi
UCH00003KP592296,DEL-Consult-3 Pvt Ltd,Private,2013-06-17,1000000.0,800000.0,Active,96,"82, Delhi",RoC-Delhi,Delhi
UCH00004KP253011,DEL-Tech-4 Pvt Ltd,Private (Ltd by shares),2016-06-14,100000.0,100000.0,Active,96,"67, Delhi",RoC-Delhi,Delhi
UCH00005KP445888,DEL-Agro-5 Pvt Ltd,Private (Ltd by shares),2023-10-24,1000000.0,800000.0,Active,47,"98, Delhi",RoC-Delhi,Delhi
UCH00006KP900441,DEL-Consult-6 Pvt Ltd,Private (Ltd by shares),2012-08-18,5000000.0,5000000.0,Strike Off,62,"126, Delhi",RoC-Delhi,Delhi
UCH00007KP246757,DEL-Info-7 Pvt Ltd,Public,2025-12-16,1000000.0,500000.0,Strike Off,46,"140, Delhi",RoC-Delhi,Delhi
UCH00008KP957730,DEL-Info-8 Pvt Ltd,Private,2010-09-21,100000.0,100000.0,Active,11,"13, Delhi",RoC-Delhi,Delhi
UCH00009KP258366,DEL-Tech-9 Pvt Ltd,Private (Ltd by shares),2018-03-27,5000000.0,2500000.0,Active,96,"56, Delhi",RoC-Delhi,Delhi
UCH00010KP611552,DEL-Tech-10 Pvt Ltd,Private (Ltd by shares),2019-06-02,2000000.0,2000000.0,Dormant,86,"2, Delhi",RoC-Delhi,Delhi
UCH00011KP400614,DEL-Tech-11 Pvt Ltd,Private (Ltd by shares),2022-07-01,100000.0,100000.0,Active,71,"129, Delhi",RoC-Delhi,Delhi
UCH00012KP301255,DEL-Fin-12 Pvt Ltd,Public,2018-03-04,100000.0,100000.0,Active,47,"135, Delhi",RoC-Delhi,Delhi
UCH00013KP581294,DEL-Fin-13 Pvt Ltd,Private (Ltd by shares),2016-05-26,1000000.0,500000.0,Strike Off,64,"63, Delhi",RoC-Delhi,Delhi
UCH00014KP524965,DEL-Retail-14 Pvt Ltd,Private (Ltd by shares),2012-05-22,10000000.0,5000000.0,Active,11,"97, Delhi",RoC-Delhi,Delhi
UCH00015KP624139,DEL-Consult-15 Pvt Ltd,Private (Ltd by shares),2020-01-21,100000.0,100000.0,Active,11,"112, Delhi",RoC-Delhi,Delhi
UCH00016KP321686,DEL-Consult-16 Pvt Ltd,Private (Ltd by shares),2015-10-28,100000.0,100000.0,Active,47,"178, Delhi",RoC-Delhi,Delhi
UCH00017KP690882,DEL-Info-17 Pvt Ltd,Private,2020-05-02,100000.0,100000.0,Active,71,"9, Delhi",RoC-Delhi,Delhi
UCH00018KP413814,DEL-Agro-18 Pvt Ltd,Private,2015-01-07,2000000.0,1000000.0,Amalgamated,11,"145, Delhi",RoC-Delhi,Delhi
UCH00019KP246748,DEL-Consult-19 Pvt Ltd,Private (Ltd by shares),2023-07-22,2000000.0,1600000.0,Amalgamated,96,"177, Delhi",RoC-Delhi,Delhi
UCH00020KP343420,DEL-Consult-20 Pvt Ltd,Public,2007-09-24,500000.0,250000.0,Active,64,"20, Delhi",RoC-Delhi,Delhi
UCH00021KP386604,DEL-Consult-21 Pvt Ltd,Public,2024-10-20,1000000.0,800000.0,Active,86,"116, Delhi",RoC-Delhi,Delhi
UCH00022KP714334,DEL-Info-22 Pvt Ltd,Private,2012-06-18,1000000.0,800000.0,Active,86,"98, Delhi",RoC-Delhi,Delhi
UCH00023KP380989,DEL-Agro-23 Pvt Ltd,Private (Ltd by shares),2024-05-26,200000.0,200000.0,Active,11,"98, Delhi",RoC-Delhi,Delhi
UCH00024KP195966,DEL-Tech-24 Pvt Ltd,Public,2025-03-24,1000000.0,800000.0,Strike Off,11,"79, Delhi",RoC-Delhi,Delhi
UCH00025KP570646,DEL-Fin-25 Pvt Ltd,Private (Ltd by shares),2016-05-04,200000.0,100000.0,Active,64,"143, Delhi",RoC-Delhi,Delhi
