CIN,Company_Name,Company_Class,Date_of_Incorporation,Authorized_Capital,Paidup_Capital,Company_Status,NIC_Code,Registered_Address,RoC,State
UDI00001LQ556542,TAM-Agro-1 Pvt Ltd,Private,2011-04-05,100000.0,80000.0,Active,86,"161, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00002LQ683390,TAM-Retail-2 Pvt Ltd,Public,2024-05-11,5000000.0,2500000.0,Active,64,"142, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00003LQ534574,TAM-Agro-3 Pvt Ltd,Private (Ltd by shares),2013-09-15,10000000.0,5000000.0,Amalgamated,11,"38, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00004LQ661652,TAM-Foods-4 Pvt Ltd,Public,2023-10-25,100000.0,50000.0,Active,62,"106, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00005LQ280564,TAM-Foods-5 Pvt Ltd,Private,2017-11-16,2000000.0,2000000.0,Dormant,10,"104, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00006LQ447596,TAM-Info-6 Pvt Ltd,Private,2024-10-22,5000000.0,4000000.0,Active,64,"61, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00007LQ393964,TAM-Consult-7 Pvt Ltd,Private (Ltd by shares),2020-05-12,100000.0,80000.0,Active,62,"126, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00008LQ382507,TAM-Info-8 Pvt Ltd,Private (Ltd by shares),2008-04-05,500000.0,500000.0,Dormant,63,"107, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00009LQ607993,TAM-Consult-9 Pvt Ltd,Public,2025-02-07,1000000.0,500000.0,Amalgamated,96,"133, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00010LQ631413,TAM-Retail-10 Pvt Ltd,Private (Ltd by shares),2006-09-26,200000.0,100000.0,Active,96,"35, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00011LQ134677,TAM-Retail-11 Pvt Ltd,Public,2023-01-06,200000.0,100000.0,Active,47,"13, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00012LQ229890,TAM-Info-12 Pvt Ltd,Private,2011-05-12,10000000.0,8000000.0,Amalgamated,86,"8, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00013LQ678115,TAM-Foods-13 Pvt Ltd,Private,2016-08-20,1000000.0,500000.0,Dormant,72,"89, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00014LQ505343,TAM-Tech-14 Pvt Ltd,Private (Ltd by shares),2013-12-27,5000000.0,2500000.0,Active,10,"42, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00015LQ783238,TAM-Retail-15 Pvt Ltd,Private,2011-04-21,200000.0,200000.0,Active,62,"132, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00016LQ364650,TAM-Fin-16 Pvt Ltd,Private (Ltd by shares),2005-08-05,5000000.0,2500000.0,Active,47,"79, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00017LQ328808,TAM-Retail-17 Pvt Ltd,Private (Ltd by shares),2025-05-14,1000000.0,800000.0,Dormant,62,"78, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00018LQ794530,TAM-Consult-18 Pvt Ltd,Private (Ltd by shares),2021-10-13,2000000.0,1000000.0,Active,71,"96, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00019LQ166938,TAM-Foods-19 Pvt Ltd,Private (Ltd by shares),2025-10-20,500000.0,400000.0,Active,70,"71, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00020LQ257212,TAM-Fin-20 Pvt Ltd,Private,2015-05-09,5000000.0,5000000.0,Active,47,"196, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00021LQ126691,TAM-Info-21 Pvt Ltd,Public,2006-10-13,5000000.0,4000000.0,Active,96,"128, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00022LQ842464,TAM-Fin-22 Pvt Ltd,Public,2013-07-13,1000000.0,1000000.0,Active,72,"49, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00023LQ414777,TAM-Consult-23 Pvt Ltd,Private (Ltd by shares),2012-11-18,5000000.0,4000000.0,Strike Off,71,"44, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00024LQ371216,TAM-Info-24 Pvt Ltd,Private,2022-03-10,100000.0,80000.0,Active,96,"144, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00025LQ422002,TAM-Retail-25 Pvt Ltd,Public,2015-11-03,200000.0,160000.0,Active,96,"85, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00026LQ765213,TAM-Fin-26 Pvt Ltd,Private (Ltd by shares),2013-10-10,1000000.0,500000.0,Dormant,10,"149, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00027LQ412848,TAM-Retail-27 Pvt Ltd,Private,2007-08-07,2000000.0,1000000.0,Amalgamated,71,"14, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00028LQ431752,TAM-Consult-28 Pvt Ltd,Private,2009-04-11,1000000.0,1000000.0,Dormant,46,"184, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00029LQ160831,TAM-Tech-29 Pvt Ltd,Public,2007-08-11,5000000.0,2500000.0,Strike Off,86,"116, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00030LQ235691,TAM-Fin-30 Pvt Ltd,Private (Ltd by shares),2011-03-19,10000000.0,5000000.0,Dormant,11,"112, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00031LQ659711,TAM-Agro-31 Pvt Ltd,Public,2018-07-14,1000000.0,800000.0,Active,10,"188, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00032LQ809621,TAM-Tech-32 Pvt Ltd,Private (Ltd by shares),2005-06-25,10000000.0,10000000.0,Active,10,"161, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00033LQ502181,TAM-Fin-33 Pvt Ltd,Public,2012-04-23,500000.0,400000.0,Active,11,"151, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00034LQ863187,TAM-Fin-34 Pvt Ltd,Private (Ltd by shares),2010-02-27,100000.0,80000.0,Active,70,"153, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00035LQ886553,TAM-Agro-35 Pvt Ltd,Public,2015-07-22,200000.0,160000.0,Dormant,63,"43, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00036LQ122977,TAM-Fin-36 Pvt Ltd,Private,2005-04-08,5000000.0,2500000.0,Active,96,"130, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00037LQ368214,TAM-Consult-37 Pvt Ltd,Private (Ltd by shares),2008-06-23,5000000.0,2500000.0,Amalgamated,86,"137, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00038LQ823255,TAM-Tech-38 Pvt Ltd,Public,2006-10-02,5000000.0,2500000.0,Active,10,"107, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00039LQ828961,TAM-Info-39 Pvt Ltd,Private,2017-02-18,500000.0,400000.0,Active,47,"162, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00040LQ735053,TAM-Info-40 Pvt Ltd,Public,2014-07-22,100000.0,100000.0,Active,72,"36, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00041LQ922880,TAM-Tech-41 Pvt Ltd,Private,2008-09-24,2000000.0,1000000.0,Active,11,"128, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00042LQ837606,TAM-Retail-42 Pvt Ltd,Private,2024-04-25,500000.0,500000.0,Active,63,"76, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00043LQ345896,TAM-Tech-43 Pvt Ltd,Private (Ltd by shares),2006-09-16,200000.0,200000.0,Dormant,63,"4, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00044LQ194458,TAM-Consult-44 Pvt Ltd,Private,2007-02-27,2000000.0,2000000.0,Dormant,46,"131, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00045LQ586830,TAM-Tech-45 Pvt Ltd,Private,2008-05-21,200000.0,160000.0,Active,62,"26, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00046LQ874415,TAM-Tech-46 Pvt Ltd,Private,2006-05-12,10000000.0,10000000.0,Strike Off,64,"25, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00047LQ558976,TAM-Fin-47 Pvt Ltd,Private (Ltd by shares),2005-03-22,5000000.0,2500000.0,Strike Off,63,"69, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00048LQ519692,TAM-Retail-48 Pvt Ltd,Public,2007-06-27,500000.0,250000.0,Active,64,"70, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00049LQ829987,TAM-Info-49 Pvt Ltd,Private,2020-07-21,10000000.0,5000000.0,Active,46,"16, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00050LQ741018,TAM-Retail-50 Pvt Ltd,Public,2008-07-19,1000000.0,1000000.0,Dormant,46,"200, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00051LQ611833,TAM-Tech-51 Pvt Ltd,Public,2024-01-28,5000000.0,5000000.0,Active,70,"106, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00052LQ810859,TAM-Fin-52 Pvt Ltd,Private (Ltd by shares),2006-02-09,5000000.0,4000000.0,Active,96,"197, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00053LQ648513,TAM-Info-53 Pvt Ltd,Private (Ltd by shares),2023-12-19,200000.0,200000.0,Strike Off,71,"180, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00054LQ795951,TAM-Info-54 Pvt Ltd,Public,2008-07-22,5000000.0,2500000.0,Dormant,63,"165, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00055LQ990079,TAM-Retail-55 Pvt Ltd,Private,2009-09-20,100000.0,50000.0,Active,71,"127, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00056LQ631553,TAM-Agro-56 Pvt Ltd,Private (Ltd by shares),2007-08-11,200000.0,160000.0,Active,10,"141, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00057LQ940183,TAM-Fin-57 Pvt Ltd,Private,2017-07-27,200000.0,100000.0,Dormant,70,"115, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00058LQ523037,TAM-Retail-58 Pvt Ltd,Private (Ltd by shares),2020-08-11,100000.0,80000.0,Active,11,"10, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00059LQ689648,TAM-Agro-59 Pvt Ltd,Private (Ltd by shares),2022-01-27,100000.0,100000.0,Active,71,"168, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00060LQ448098,TAM-Fin-60 Pvt Ltd,Private (Ltd by shares),2019-06-12,10000000.0,5000000.0,Active,70,"197, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00061LQ202170,TAM-Consult-61 Pvt Ltd,Private,2024-08-23,5000000.0,4000000.0,Dormant,11,"169, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00062LQ647341,TAM-Foods-62 Pvt Ltd,Private,2005-06-12,10000000.0,10000000.0,Active,71,"180, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00063LQ366641,TAM-Fin-63 Pvt Ltd,Private,2006-03-16,200000.0,200000.0,Amalgamated,11,"51, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00064LQ893928,TAM-Retail-64 Pvt Ltd,Private (Ltd by shares),2008-07-07,1000000.0,500000.0,Strike Off,11,"12, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00065LQ104548,TAM-Fin-65 Pvt Ltd,Private,2023-02-25,1000000.0,800000.0,Active,70,"189, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00066LQ706658,TAM-Agro-66 Pvt Ltd,Private,2022-07-27,2000000.0,1600000.0,Active,96,"188, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00067LQ503348,TAM-Retail-67 Pvt Ltd,Private (Ltd by shares),2008-07-22,2000000.0,2000000.0,Strike Off,71,"156, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00068LQ244892,TAM-Retail-68 Pvt Ltd,Private (Ltd by shares),2012-05-13,500000.0,400000.0,Dormant,46,"155, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00069LQ872610,TAM-Fin-69 Pvt Ltd,Private,2021-05-27,5000000.0,5000000.0,Strike Off,96,"162, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00070LQ239116,TAM-Info-70 Pvt Ltd,Private,2011-04-20,5000000.0,4000000.0,Strike Off,86,"167, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00071LQ689593,TAM-Retail-71 Pvt Ltd,Private (Ltd by shares),2021-09-23,5000000.0,4000000.0,Active,63,"150, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00072LQ947568,TAM-Tech-72 Pvt Ltd,Private,2018-11-24,10000000.0,10000000.0,Active,64,"134, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00073LQ379947,TAM-Consult-73 Pvt Ltd,Public,2005-07-05,100000.0,100000.0,Active,47,"42, Tamil Nadu",RoC-Chennai,Tamil Nadu
