CIN,Company_Name,Company_Class,Date_of_Incorporation,Authorized_Capital,Paidup_Capital,Company_Status,NIC_Code,Registered_Address,RoC,State
UBG00001JO232915,GUJ-Info-1 Pvt Ltd,Private (Ltd by shares),2012-10-11,100000.0,50000.0,Active,10,"108, Gujarat",RoC-Ahmedabad,Gujarat
UBG00002JO722503,GUJ-Tech-2 Pvt Ltd,Private (Ltd by shares),2008-12-03,1000000.0,800000.0,Strike Off,71,"116, Gujarat",RoC-Ahmedabad,Gujarat
UBG00003JO774591,GUJ-Tech-3 Pvt Ltd,Public,2012-10-02,5000000.0,5000000.0,Active,70,"16, Gujarat",RoC-Ahmedabad,Gujarat
UBG00004JO184714,GUJ-Foods-4 Pvt Ltd,Private,2017-07-22,100000.0,80000.0,Dormant,11,"156, Gujarat",RoC-Ahmedabad,Gujarat
UBG00005JO726410,GUJ-Fin-5 Pvt Ltd,Public,2007-03-09,2000000.0,2000000.0,Strike Off,64,"76, Gujarat",RoC-Ahmedabad,Gujarat
UBG00006JO782535,GUJ-Consult-6 Pvt Ltd,Private (Ltd by shares),2021-10-14,100000.0,100000.0,Strike Off,86,"142, Gujarat",RoC-Ahmedabad,Gujarat
UBG00007JO518098,GUJ-Retail-7 Pvt Ltd,Private,2011-07-15,200000.0,160000.0,Strike Off,70,"187, Gujarat",RoC-Ahmedabad,Gujarat
UBG00008JO820184,GUJ-Retail-8 Pvt Ltd,Private,2015-07-11,5000000.0,4000000.0,Strike Off,46,"18, Gujarat",RoC-Ahmedabad,Gujarat
UBG00009JO683397,GUJ-Tech-9 Pvt Ltd,Private (Ltd by shares),2007-02-14,100000.0,100000.0,Strike Off,46,"151, Gujarat",RoC-Ahmedabad,Gujarat
UBG00010JO886730,GUJ-Retail-10 Pvt Ltd,Private,2022-06-22,100000.0,80000.0,Strike Off,86,"185, Gujarat",RoC-Ahmedabad,Gujarat
UBG00011JO788637,GUJ-Retail-11 Pvt Ltd,Private,2014-10-10,500000.0,250000.0,Active,46,"58, Gujarat",RoC-Ahmedabad,Gujarat
UBG00012JO986209,GUJ-Fin-12 Pvt Ltd,Private (Ltd by shares),2016-09-12,100000.0,80000.0,Active,64,"197, Gujarat",RoC-Ahmedabad,Gujarat
UBG00013JO289179,GUJ-Foods-13 Pvt Ltd,Public,2024-11-21,3000000.0,1000000.0,Active,10,"180, Gujarat",RoC-Ahmedabad,Gujarat
UBG00014JO248766,GUJ-Info-14 Pvt Ltd,Private,2015-06-01,200000.0,100000.0,Amalgamated,11,"163, Gujarat",RoC-Ahmedabad,Gujarat
UBG00015JO457455,GUJ-Agro-15 Pvt Ltd,Public,2007-12-17,200000.0,160000.0,Amalgamated,70,"95, Gujarat",RoC-Ahmedabad,Gujarat
UBG00016JO891083,GUJ-Fin-16 Pvt Ltd,Private (Ltd by shares),2015-10-20,100000.0,50000.0,Active,46,"13, Gujarat",RoC-Ahmedabad,Gujarat
UBG00017JO563516,GUJ-Retail-17 Pvt Ltd,Private,2007-05-15,5000000.0,4000000.0,Dormant,72,"70, Gujarat",RoC-Ahmedabad,Gujarat
UBG00018JO811444,GUJ-Fin-18 Pvt Ltd,Private (Ltd by shares),2021-02-12,1000000.0,500000.0,Active,86,"125, Gujarat",RoC-Ahmedabad,Gujarat
UBG00019JO314353,GUJ-Foods-19 Pvt Ltd,Private,2014-01-08,1000000.0,1000000.0,Active,10,"55, Gujarat",RoC-Ahmedabad,Gujarat
UBG00020JO551574,GUJ-Agro-20 Pvt Ltd,Public,2013-05-11,100000.0,50000.0,Dormant,96,"34, Gujarat",RoC-Ahmedabad,Gujarat
UBG00021JO516359,GUJ-Consult-21 Pvt Ltd,Private,2022-12-08,2000000.0,2000000.0,Strike Off,11,"190, Gujarat",RoC-Ahmedabad,Gujarat
UBG00022JO524068,GUJ-Info-22 Pvt Ltd,Public,2018-01-15,100000.0,80000.0,Amalgamated,72,"164, Gujarat",RoC-Ahmedabad,Gujarat
UBG00023JO582446,GUJ-Consult-23 Pvt Ltd,Public,2014-02-13,100000.0,80000.0,Active,72,"177, Gujarat",RoC-Ahmedabad,Gujarat
UBG00024JO519902,GUJ-Fin-24 Pvt Ltd,Public,2007-07-28,100000.0,50000.0,Amalgamated,72,"21, Gujarat",RoC-Ahmedabad,Gujarat
UBG00025JO635280,GUJ-Info-25 Pvt Ltd,Private (Ltd by shares),2014-12-11,200000.0,160000.0,Active,11,"30, Gujarat",RoC-Ahmedabad,Gujarat
UBG00026JO207798,GUJ-Agro-26 Pvt Ltd,Private,2021-04-25,500000.0,400000.0,Active,47,"66, Gujarat",RoC-Ahmedabad,Gujarat
UBG00027JO910389,GUJ-Info-27 Pvt Ltd,Public,2010-10-05,10000000.0,10000000.0,Active,46,"127, Gujarat",RoC-Ahmedabad,Gujarat
UBG00028JO431495,GUJ-Agro-28 Pvt Ltd,Private,2023-10-15,5000000.0,5000000.0,Strike Off,86,"113, Gujarat",RoC-Ahmedabad,Gujarat
UBG00029JO631981,GUJ-Tech-29 Pvt Ltd,Public,2020-08-21,500000.0,400000.0,Active,63,"80, Gujarat",RoC-Ahmedabad,Gujarat
UBG00030JO996840,GUJ-Tech-30 Pvt Ltd,Private (Ltd by shares),2019-01-02,500000.0,400000.0,Active,86,"158, Gujarat",RoC-Ahmedabad,Gujarat
UBG00031JO949153,GUJ-Fin-31 Pvt Ltd,Private,2021-07-15,2000000.0,2000000.0,Active,70,"167, Gujarat",RoC-Ahmedabad,Gujarat
UBG00032JO208529,GUJ-Consult-32 Pvt Ltd,Private (Ltd by shares),2015-10-16,2000000.0,1000000.0,Active,70,"88, Gujarat",RoC-Ahmedabad,Gujarat
UBG00033JO559022,GUJ-Retail-33 Pvt Ltd,Private (Ltd by shares),2007-09-21,200000.0,100000.0,Active,96,"135, Gujarat",RoC-Ahmedabad,Gujarat
UBG00034JO912085,GUJ-Foods-34 Pvt Ltd,Private (Ltd by shares),2024-03-12,500000.0,400000.0,Amalgamated,64,"174, Gujarat",RoC-Ahmedabad,Gujarat
UBG00035JO685066,GUJ-Info-35 Pvt Ltd,Public,2006-11-21,750000.0,250000.0,Strike Off,11,"99, Gujarat",RoC-Ahmedabad,Gujarat
UBG00036JO185461,GUJ-Fin-36 Pvt Ltd,Private,2013-12-28,5000000.0,5000000.0,Active,63,"170, Gujarat",RoC-Ahmedabad,Gujarat
UBG00037JO723945,GUJ-Info-37 Pvt Ltd,Public,2016-05-21,5000000.0,5000000.0,Amalgamated,46,"22, Gujarat",RoC-Ahmedabad,Gujarat
UBG00039JO480211,GUJ-Foods-39 Pvt Ltd,Private,2021-02-21,5000000.0,4000000.0,Strike Off,10,"47, Gujarat",RoC-Ahmedabad,Gujarat
UBG00040JO410160,GUJ-Consult-40 Pvt Ltd,Private (Ltd by shares),2015-08-07,200000.0,100000.0,Active,11,"26, Gujarat",RoC-Ahmedabad,Gujarat
UBG00041JO237414,GUJ-Fin-41 Pvt Ltd,Private,2022-12-17,100000.0,100000.0,Strike Off,72,"97, Gujarat",RoC-Ahmedabad,Gujarat
UBG00042JO558933,GUJ-Tech-42 Pvt Ltd,Public,2010-03-27,5000000.0,5000000.0,Strike Off,96,"106, Gujarat",RoC-Ahmedabad,Gujarat
UBG00043JO659951,GUJ-Agro-43 Pvt Ltd,Public,2012-08-20,500000.0,500000.0,Dormant,47,"80, Gujarat",RoC-Ahmedabad,Gujarat
UBG00044JO915922,GUJ-Retail-44 Pvt Ltd,Private (Ltd by shares),2011-06-22,2000000.0,1600000.0,Active,62,"129, Gujarat",RoC-Ahmedabad,Gujarat
UBG00045JO154714,GUJ-Info-45 Pvt Ltd,Public,2018-03-27,200000.0,200000.0,Active,62,"124, Gujarat",RoC-Ahmedabad,Gujarat
UBG00046JO187949,GUJ-Consult-46 Pvt Ltd,Public,2022-02-23,10000000.0,10000000.0,Active,62,"42, Gujarat",RoC-Ahmedabad,Gujarat
UBG00047JO956375,GUJ-Retail-47 Pvt Ltd,Private,2019-09-05,8000000.0,8000000.0,Active,47,"90, Gujarat",RoC-Ahmedabad,Gujarat
UBG00048JO185569,GUJ-Foods-48 Pvt Ltd,Private,2018-01-13,2000000.0,1600000.0,Active,64,"58, Gujarat",RoC-Ahmedabad,Gujarat
UBG00049JO244283,GUJ-Tech-49 Pvt Ltd,Public,2015-02-27,5000000.0,5000000.0,Strike Off,46,"74, Gujarat",RoC-Ahmedabad,Gujarat
UBG00050JO119927,GUJ-Foods-50 Pvt Ltd,Private,2009-12-16,1000000.0,1000000.0,Active,11,"56, Gujarat",RoC-Ahmedabad,Gujarat
