CIN,Company_Name,Company_Class,Date_of_Incorporation,Authorized_Capital,Paidup_Capital,Company_Status,NIC_Code,Registered_Address,RoC,State
UEJ00001MR526911,KAR-Fin-1 Pvt Ltd,Private (Ltd by shares),2011-08-13,2000000.0,1000000.0,Active,46,"28, Karnataka",RoC-Bangalore,Karnataka
UEJ00002MR952646,KAR-Consult-2 Pvt Ltd,Public,2007-09-10,500000.0,250000.0,Active,71,"148, Karnataka",RoC-Bangalore,Karnataka
UEJ00003MR814703,KAR-Retail-3 Pvt Ltd,Private,2019-07-19,1000000.0,500000.0,Strike Off,70,"151, Karnataka",RoC-Bangalore,Karnataka
UEJ00004MR835236,KAR-Agro-4 Pvt Ltd,Public,2020-02-09,100000.0,80000.0,Active,86,"81, Karnataka",RoC-Bangalore,Karnataka
UEJ00005MR401244,KAR-Tech-5 Pvt Ltd,Private (Ltd by shares),2016-09-18,100000.0,100000.0,Active,47,"103, Karnataka",RoC-Bangalore,Karnataka
UEJ00006MR329183,KAR-Fin-6 Pvt Ltd,Private,2015-02-18,200000.0,160000.0,Strike Off,63,"69, Karnataka",RoC-Bangalore,Karnataka
UEJ00007MR316823,KAR-Agro-7 Pvt Ltd,Private,2011-08-24,240000.0,100000.0,Active,62,"52, Karnataka",RoC-Bangalore,Karnataka
UEJ00008MR808640,KAR-Info-8 Pvt Ltd,Private (Ltd by shares),2024-06-05,10000000.0,5000000.0,Active,11,"127, Karnataka",RoC-Bangalore,Karnataka
UEJ00009MR430738,KAR-Retail-9 Pvt Ltd,Public,2005-09-02,12000000.0,8000000.0,Strike Off,72,"148, Karnataka",RoC-Bangalore,Karnataka
UEJ00010MR886609,KAR-Fin-10 Pvt Ltd,Private,2020-03-25,2000000.0,1600000.0,Amalgamated,47,"33, Karnataka",RoC-Bangalore,Karnataka
UEJ00011MR819678,KAR-Consult-11 Pvt Ltd,Public,2021-07-16,2000000.0,1000000.0,Strike Off,64,"45, Karnataka",RoC-Bangalore,Karnataka
UEJ00012MR806848,KAR-Agro-12 Pvt Ltd,Private (Ltd by shares),2008-12-17,1000000.0,800000.0,Active,10,"98, Karnataka",RoC-Bangalore,Karnataka
UEJ00013MR375617,KAR-Agro-13 Pvt Ltd,Public,2008-06-12,2000000.0,1600000.0,Active,71,"69, Karnataka",RoC-Bangalore,Karnataka
UEJ00014MR539450,KAR-Info-14 Pvt Ltd,Public,2024-06-12,300000.0,160000.0,Amalgamated,47,"193, Karnataka",RoC-Bangalore,Karnataka
UEJ00015MR819335,KAR-Agro-15 Pvt Ltd,Private (Ltd by shares),2016-07-09,1000000.0,500000.0,Active,72,"26, Karnataka",RoC-Bangalore,Karnataka
UEJ00016MR938900,KAR-Info-16 Pvt Ltd,Public,2013-04-18,1200000.0,800000.0,Active,46,"39, Karnataka",RoC-Bangalore,Karnataka
UEJ00017MR414608,KAR-Foods-17 Pvt Ltd,Private (Ltd by shares),2005-03-14,1000000.0,500000.0,Strike Off,70,"144, Karnataka",RoC-Bangalore,Karnataka
UEJ00018MR953350,KAR-Foods-18 Pvt Ltd,Private (Ltd by shares),2006-07-04,4000000.0,2500000.0,Active,47,"122, Karnataka",RoC-Bangalore,Karnataka
UEJ00019MR687569,KAR-Fin-19 Pvt Ltd,Public,2008-08-24,500000.0,400000.0,Dormant,63,"66, Karnataka",RoC-Bangalore,Karnataka
UEJ00020MR703869,KAR-Info-20 Pvt Ltd,Private (Ltd by shares),2005-07-04,500000.0,500000.0,Active,72,"167, Karnataka",RoC-Bangalore,Karnataka
UEJ00021MR568640,KAR-Tech-21 Pvt Ltd,Private (Ltd by shares),2010-05-12,500000.0,500000.0,Dormant,96,"98, Karnataka",RoC-Bangalore,Karnataka
UEJ00022MR761938,KAR-Fin-22 Pvt Ltd,Public,2014-08-21,200000.0,100000.0,Strike Off,64,"147, Karnataka",RoC-Bangalore,Karnataka
UEJ00023MR784733,KAR-Foods-23 Pvt Ltd,Public,2007-02-06,500000.0,250000.0,Strike Off,63,"182, Karnataka",RoC-Bangalore,Karnataka
UEJ00024MR715429,KAR-Fin-24 Pvt Ltd,Public,2024-11-13,500000.0,400000.0,Strike Off,96,"116, Karnataka",RoC-Bangalore,Karnataka
UEJ00025MR363871,KAR-Info-25 Pvt Ltd,Private (Ltd by shares),2010-03-28,100000.0,50000.0,Active,86,"180, Karnataka",RoC-Bangalore,Karnataka
UEJ00026MR596171,KAR-Fin-26 Pvt Ltd,Private,2007-04-06,1000000.0,500000.0,Active,11,"14, Karnataka",RoC-Bangalore,Karnataka
UEJ00027MR262816,KAR-Tech-27 Pvt Ltd,Public,2017-09-25,100000.0,50000.0,Active,72,"168, Karnataka",RoC-Bangalore,Karnataka
UEJ00028MR232552,KAR-Agro-28 Pvt Ltd,Private,2014-04-08,5000000.0,4000000.0,Dormant,86,"135, Karnataka",RoC-Bangalore,Karnataka
UEJ00029MR666843,KAR-Foods-29 Pvt Ltd,Public,2005-01-22,500000.0,400000.0,Dormant,70,"141, Karnataka",RoC-Bangalore,Karnataka
UEJ00030MR885290,KAR-Info-30 Pvt Ltd,Public,2009-12-18,200000.0,200000.0,Amalgamated,86,"145, Karnataka",RoC-Bangalore,Karnataka
UEJ00031MR665883,KAR-Agro-31 Pvt Ltd,Public,2021-11-21,2000000.0,1600000.0,Strike Off,70,"23, Karnataka",RoC-Bangalore,Karnataka
UEJ00033MR414164,KAR-Tech-33 Pvt Ltd,Public,2016-05-16,2000000.0,1000000.0,Dormant,70,"197, Karnataka",RoC-Bangalore,Karnataka
UEJ00034MR531736,KAR-Fin-34 Pvt Ltd,Public,2014-10-08,15000000.0,5000000.0,Strike Off,47,"112, Karnataka",RoC-Bangalore,Karnataka
UEJ00035MR331307,KAR-Foods-35 Pvt Ltd,Public,2012-03-23,5000000.0,5000000.0,Amalgamated,64,"21, Karnataka",RoC-Bangalore,Karnataka
UEJ00036MR779956,KAR-Info-36 Pvt Ltd,Public,2025-04-17,10000000.0,10000000.0,Active,62,"137, Karnataka",RoC-Bangalore,Karnataka
UEJ00037MR215717,KAR-Info-37 Pvt Ltd,Private (Ltd by shares),2018-04-28,80000.0,50000.0,Active,62,"117, Karnataka",RoC-Bangalore,Karnataka
UEJ00038MR120337,KAR-Agro-38 Pvt Ltd,Private (Ltd by shares),2019-05-23,2000000.0,1600000.0,Active,63,"13, Karnataka",RoC-Bangalore,Karnataka
