CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
UAF00166IN882702,New Incorporation,,,,2025-10-19
UAF00167IN289131,New Incorporation,,,,2025-10-19
UAF00168IN711218,New Incorporation,,,,2025-10-19
UAF00169IN322526,New Incorporation,,,,2025-10-19
UAF00170IN161606,New Incorporation,,,,2025-10-19
UAF00171IN365978,New Incorporation,,,,2025-10-19
UAF00172IN288085,New Incorporation,,,,2025-10-19
UAF00173IN656189,New Incorporation,,,,2025-10-19
UAF00174IN478108,New Incorporation,,,,2025-10-19
UAF00175IN872663,New Incorporation,,,,2025-10-19
UAF00176IN255840,New Incorporation,,,,2025-10-19
UAF00177IN221660,New Incorporation,,,,2025-10-19
UAF00178IN986925,New Incorporation,,,,2025-10-19
UAF00179IN886365,New Incorporation,,,,2025-10-19
UAF00180IN180567,New Incorporation,,,,2025-10-19
UAF00181IN491704,New Incorporation,,,,2025-10-19
UAF00182IN758879,New Incorporation,,,,2025-10-19
UAF00183IN867080,New Incorporation,,,,2025-10-19
UAF00184IN879930,New Incorporation,,,,2025-10-19
UAF00185IN193520,New Incorporation,,,,2025-10-19
UAF00186IN413048,New Incorporation,,,,2025-10-19
UAF00187IN637555,New Incorporation,,,,2025-10-19
UAF00188IN893237,New Incorporation,,,,2025-10-19
UAF00189IN458345,New Incorporation,,,,2025-10-19
UAF00190IN590963,New Incorporation,,,,2025-10-19
UAF00191IN548509,New Incorporation,,,,2025-10-19
UAF00192IN199074,New Incorporation,,,,2025-10-19
UAF00193IN117058,New Incorporation,,,,2025-10-19
UBG00166JO559392,New Incorporation,,,,2025-10-19
UBG00167JO407645,New Incorporation,,,,2025-10-19
UBG00168JO752048,New Incorporation,,,,2025-10-19
UBG00169JO735173,New Incorporation,,,,2025-10-19
UBG00170JO476215,New Incorporation,,,,2025-10-19
UBG00171JO454140,New Incorporation,,,,2025-10-19
UBG00172JO923012,New Incorporation,,,,2025-10-19
UBG00173JO152871,New Incorporation,,,,2025-10-19
