CIN,Company_Name,Company_Class,Date_of_Incorporation,Authorized_Capital,Paidup_Capital,Company_Status,NIC_Code,Registered_Address,RoC,State
UAF00008IN816751,MAH-Info-8 Pvt Ltd,Private (Ltd by shares),2010-06-12,200000.0,200000.0,Active,96,"19, Maharashtra",RoC-Mumbai,Maharashtra
UAF00013IN214975,MAH-Agro-13 Pvt Ltd,Private,2016-04-05,2000000.0,1600000.0,Active,10,"161, Maharashtra",RoC-Mumbai,Maharashtra
UAF00028IN274389,MAH-Retail-28 Pvt Ltd,Public,2006-11-18,10000000.0,5000000.0,Active,47,"125, Maharashtra",RoC-Mumbai,Maharashtra
UAF00034IN378517,MAH-Retail-34 Pvt Ltd,Private (Ltd by shares),2023-09-11,500000.0,250000.0,Strike Off,47,"34, Maharashtra",RoC-Mumbai,Maharashtra
UAF00099IN961322,MAH-Foods-99 Pvt Ltd,Private,2007-04-22,10000000.0,10000000.0,Active,86,"148, Maharashtra",RoC-Mumbai,Maharashtra
UAF00114IN592296,MAH-Consult-114 Pvt Ltd,Public,2019-01-24,200000.0,160000.0,Active,11,"68, Maharashtra",RoC-Mumbai,Maharashtra
UAF00121IN563187,MAH-Foods-121 Pvt Ltd,Public,2005-08-10,5000000.0,5000000.0,Active,11,"151, Maharashtra",RoC-Mumbai,Maharashtra
UAF00139IN926952,MAH-Fin-139 Pvt Ltd,Public,2022-04-19,200000.0,100000.0,Strike Off,46,"1, Maharashtra",RoC-Mumbai,Maharashtra
UBG00038JO836971,GUJ-Consult-38 Pvt Ltd,Private (Ltd by shares),2022-07-21,10000000.0,8000000.0,Active,86,"190, Gujarat",RoC-Ahmedabad,Gujarat
UBG00060JO474314,GUJ-Consult-60 Pvt Ltd,Private,2020-05-02,10000000.0,10000000.0,Active,62,"200, Gujarat",RoC-Ahmedabad,Gujarat
UBG00068JO781113,GUJ-Foods-68 Pvt Ltd,Private,2007-10-05,2000000.0,1600000.0,Amalgamated,63,"64, Gujarat",RoC-Ahmedabad,Gujarat
UBG00098JO834549,GUJ-Tech-98 Pvt Ltd,Private,2017-03-27,5000000.0,2500000.0,Active,72,"49, Gujarat",RoC-Ahmedabad,Gujarat
UBG00100JO601608,GUJ-Fin-100 Pvt Ltd,Public,2006-12-05,2000000.0,1000000.0,Strike Off,86,"97, Gujarat",RoC-Ahmedabad,Gujarat
UBG00122JO563303,GUJ-Tech-122 Pvt Ltd,Private,2011-10-18,200000.0,100000.0,Strike Off,71,"175, Gujarat",RoC-Ahmedabad,Gujarat
UBG00136JO414455,GUJ-Retail-136 Pvt Ltd,Private (Ltd by shares),2017-09-11,5000000.0,4000000.0,Amalgamated,46,"48, Gujarat",RoC-Ahmedabad,Gujarat
UBG00137JO160423,GUJ-Fin-137 Pvt Ltd,Public,2020-04-28,200000.0,160000.0,Active,70,"106, Gujarat",RoC-Ahmedabad,Gujarat
UCH00014KP524965,DEL-Retail-14 Pvt Ltd,Private (Ltd by shares),2012-05-22,10000000.0,5000000.0,Active,11,"97, Delhi",RoC-Delhi,Delhi
UCH00054KP844638,DEL-Consult-54 Pvt Ltd,Public,2021-11-16,1000000.0,1000000.0,Dormant,64,"114, Delhi",RoC-Delhi,Delhi
UCH00065KP197666,DEL-Info-65 Pvt Ltd,Private (Ltd by shares),2016-08-16,500000.0,500000.0,Active,96,"118, Delhi",RoC-Delhi,Delhi
UCH00073KP945106,DEL-Tech-73 Pvt Ltd,Public,2009-08-03,200000.0,160000.0,Active,96,"27, Delhi",RoC-Delhi,Delhi
UCH00086KP620526,DEL-Foods-86 Pvt Ltd,Private (Ltd by shares),2010-02-01,5000000.0,2500000.0,Active,46,"134, Delhi",RoC-Delhi,Delhi
UCH00094KP691194,DEL-Consult-94 Pvt Ltd,Private (Ltd by shares),2007-09-15,100000.0,80000.0,Active,62,"78, Delhi",RoC-Delhi,Delhi
UCH00112KP941134,DEL-Fin-112 Pvt Ltd,Public,2017-03-14,200000.0,200000.0,Active,86,"5, Delhi",RoC-Delhi,Delhi
UCH00117KP690984,DEL-Agro-117 Pvt Ltd,Private,2016-10-01,5000000.0,5000000.0,Strike Off,72,"145, Delhi",RoC-Delhi,Delhi
UDI00007LQ393964,TAM-Consult-7 Pvt Ltd,Private (Ltd by shares),2020-05-12,100000.0,80000.0,Active,62,"126, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00024LQ371216,TAM-Info-24 Pvt Ltd,Private,2022-03-10,100000.0,80000.0,Active,96,"144, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00030LQ235691,TAM-Fin-30 Pvt Ltd,Private (Ltd by shares),2011-03-19,10000000.0,5000000.0,Dormant,11,"112, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00057LQ940183,TAM-Fin-57 Pvt Ltd,Private,2017-07-27,200000.0,100000.0,Dormant,70,"115, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00079LQ142608,TAM-Retail-79 Pvt Ltd,Private (Ltd by shares),2007-03-06,5000000.0,5000000.0,Active,64,"72, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00092LQ106185,TAM-Info-92 Pvt Ltd,Private (Ltd by shares),2018-06-01,1000000.0,1000000.0,Active,71,"185, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00103LQ980919,TAM-Foods-103 Pvt Ltd,Private (Ltd by shares),2010-01-11,200000.0,100000.0,Amalgamated,62,"35, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00115LQ341162,TAM-Tech-115 Pvt Ltd,Private (Ltd by shares),2020-10-01,2000000.0,1000000.0,Dormant,46,"132, Tamil Nadu",RoC-Chennai,Tamil Nadu
UEJ00032MR100096,KAR-Fin-32 Pvt Ltd,Private,2014-06-14,500000.0,250000.0,Active,10,"195, Karnataka",RoC-Bangalore,Karnataka
UEJ00052MR656937,KAR-Agro-52 Pvt Ltd,Public,2015-12-15,500000.0,500000.0,Active,11,"116, Karnataka",RoC-Bangalore,Karnataka
UEJ00060MR326387,KAR-Fin-60 Pvt Ltd,Private,2013-09-02,5000000.0,2500000.0,Active,11,"25, Karnataka",RoC-Bangalore,Karnataka
UEJ00072MR907812,KAR-Agro-72 Pvt Ltd,Private (Ltd by shares),2006-06-12,10000000.0,8000000.0,Amalgamated,11,"192, Karnataka",RoC-Bangalore,Karnataka
UEJ00087MR499194,KAR-Fin-87 Pvt Ltd,Private,2016-02-01,500000.0,500000.0,Amalgamated,47,"182, Karnataka",RoC-Bangalore,Karnataka
UEJ00104MR506216,KAR-Fin-104 Pvt Ltd,Private (Ltd by shares),2012-09-18,1000000.0,1000000.0,Active,71,"196, Karnataka",RoC-Bangalore,Karnataka
UEJ00109MR571228,KAR-Info-109 Pvt Ltd,Private,2010-12-24,100000.0,50000.0,Active,96,"93, Karnataka",RoC-Bangalore,Karnataka
UEJ00128MR922072,KAR-Consult-128 Pvt Ltd,Private (Ltd by shares),2020-03-21,1000000.0,1000000.0,Strike Off,70,"106, Karnataka",RoC-Bangalore,Karnataka
UAF00016IN211579,MAH-Consult-16 Pvt Ltd,Public,2005-12-24,400000.0,500000.0,Active,71,"161, Maharashtra",RoC-Mumbai,Maharashtra
UAF00036IN356150,MAH-Foods-36 Pvt Ltd,Private,2022-04-17,500000.0,250000.0,Strike Off,11,"73, Maharashtra",RoC-Mumbai,Maharashtra
UAF00066IN273061,MAH-Consult-66 Pvt Ltd,Private,2005-07-11,5000000.0,5000000.0,Amalgamated,96,"120, Maharashtra",RoC-Mumbai,Maharashtra
UAF00069IN885408,MAH-Fin-69 Pvt Ltd,Public,2013-07-09,10000000.0,5000000.0,Dormant,10,"14, Maharashtra",RoC-Mumbai,Maharashtra
UAF00084IN878967,MAH-Fin-84 Pvt Ltd,Private (Ltd by shares),2013-04-04,5000000.0,2500000.0,Strike Off,11,"196, Maharashtra",RoC-Mumbai,Maharashtra
UAF00097IN522060,MAH-Foods-97 Pvt Ltd,Private (Ltd by shares),2023-05-15,100000.0,80000.0,Active,96,"129, Maharashtra",RoC-Mumbai,Maharashtra
UAF00104IN313446,MAH-Foods-104 Pvt Ltd,Private,2011-09-12,2000000.0,1600000.0,Dormant,10,"141, Maharashtra",RoC-Mumbai,Maharashtra
UAF00145IN814622,MAH-Foods-145 Pvt Ltd,Private (Ltd by shares),2014-07-20,2000000.0,1600000.0,Active,47,"77, Maharashtra",RoC-Mumbai,Maharashtra
UAF00150IN175231,MAH-Info-150 Pvt Ltd,Private,2009-05-28,5000000.0,2500000.0,Active,10,"5, Maharashtra",RoC-Mumbai,Maharashtra
UBG00012JO986209,GUJ-Fin-12 Pvt Ltd,Private (Ltd by shares),2016-09-12,100000.0,80000.0,Active,64,"197, Gujarat",RoC-Ahmedabad,Gujarat
UBG00022JO524068,GUJ-Info-22 Pvt Ltd,Public,2018-01-15,100000.0,80000.0,Amalgamated,72,"164, Gujarat",RoC-Ahmedabad,Gujarat
UBG00047JO956375,GUJ-Retail-47 Pvt Ltd,Private,2019-09-05,8000000.0,8000000.0,Active,47,"90, Gujarat",RoC-Ahmedabad,Gujarat
UBG00048JO185569,GUJ-Foods-48 Pvt Ltd,Private,2018-01-13,2000000.0,1600000.0,Active,64,"58, Gujarat",RoC-Ahmedabad,Gujarat
UBG00080JO772612,GUJ-Consult-80 Pvt Ltd,Public,2015-10-02,10000000.0,5000000.0,Active,10,"148, Gujarat",RoC-Ahmedabad,Gujarat
UBG00084JO639995,GUJ-Fin-84 Pvt Ltd,Public,2015-12-28,500000.0,400000.0,Active,63,"28, Gujarat",RoC-Ahmedabad,Gujarat
UBG00106JO214532,GUJ-Fin-106 Pvt Ltd,Private (Ltd by shares),2011-04-27,2000000.0,1600000.0,Active,46,"190, Gujarat",RoC-Ahmedabad,Gujarat
UBG00112JO992400,GUJ-Fin-112 Pvt Ltd,Public,2015-05-15,5000000.0,5000000.0,Dormant,46,"120, Gujarat",RoC-Ahmedabad,Gujarat
UBG00125JO166857,GUJ-Fin-125 Pvt Ltd,Private,2011-10-03,100000.0,80000.0,Strike Off,96,"16, Gujarat",RoC-Ahmedabad,Gujarat
UCH00034KP319832,DEL-Retail-34 Pvt Ltd,Private (Ltd by shares),2010-11-25,2000000.0,1000000.0,Dormant,96,"75, Delhi",RoC-Delhi,Delhi
UCH00035KP364955,DEL-Info-35 Pvt Ltd,Private (Ltd by shares),2007-07-22,1000000.0,500000.0,Active,47,"40, Delhi",RoC-Delhi,Delhi
UCH00038KP934908,DEL-Retail-38 Pvt Ltd,Private,2016-03-21,2000000.0,1000000.0,Amalgamated,63,"28, Delhi",RoC-Delhi,Delhi
UCH00043KP938913,DEL-Agro-43 Pvt Ltd,Private,2008-01-28,500000.0,500000.0,Strike Off,86,"190, Delhi",RoC-Delhi,Delhi
UCH00114KP161437,DEL-Consult-114 Pvt Ltd,Private (Ltd by shares),2010-01-11,2000000.0,1000000.0,Active,62,"121, Delhi",RoC-Delhi,Delhi
UCH00126KP111949,DEL-Foods-126 Pvt Ltd,Private,2016-06-06,5000000.0,2500000.0,Strike Off,70,"54, Delhi",RoC-Delhi,Delhi
UCH00133KP478356,DEL-Tech-133 Pvt Ltd,Private,2006-07-19,2000000.0,1600000.0,Active,10,"110, Delhi",RoC-Delhi,Delhi
UCH00138KP338564,DEL-Fin-138 Pvt Ltd,Public,2008-02-22,500000.0,500000.0,Amalgamated,72,"16, Delhi",RoC-Delhi,Delhi
UCH00140KP893969,DEL-Retail-140 Pvt Ltd,Private,2006-09-19,2000000.0,2000000.0,Active,11,"45, Delhi",RoC-Delhi,Delhi
UDI00015LQ783238,TAM-Retail-15 Pvt Ltd,Private,2011-04-21,200000.0,200000.0,Active,62,"132, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00020LQ257212,TAM-Fin-20 Pvt Ltd,Private,2015-05-09,5000000.0,5000000.0,Active,47,"196, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00027LQ412848,TAM-Retail-27 Pvt Ltd,Private,2007-08-07,2000000.0,1000000.0,Dormant,71,"14, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00065LQ104548,TAM-Fin-65 Pvt Ltd,Private,2023-02-25,1000000.0,800000.0,Active,70,"189, Tamil Nadu",RoC-Chennai,Tamil Nadu
